galaxy,R_R25,SigmaHI_Msun_pc2,e_SigmaHI_Msun_pc2,SigmaSFR_Msun_yr_kpc2,e_SigmaSFR_stat_Msun_yr_kpc2,e_SigmaSFR_Msun_yr_kpc2
NGC2403,1.0253963367708172,4.327873017401185,0.15937113186675766,0.00024300819243318466,2.94738784181047e-05,0.00012502781653062707
NGC2403,1.056949361243651,4.180630937170237,0.14462848825168573,0.00019433995216815243,2.0534096480841264e-05,9.93159270734782e-05
NGC2403,1.0883484685239342,3.9870675601850545,0.13782843154961744,0.00015753810638109134,1.5365789220445316e-05,8.02537925515185e-05
NGC2403,1.120055410189318,3.9304696257606118,0.13597418395360727,0.00013300139898523187,1.2962795280197086e-05,6.775232169072518e-05
NGC2403,1.1514545174696014,3.889280633276986,0.13454925508400706,0.00012410544886591997,1.3860105026680833e-05,6.358178293271975e-05
NGC2403,1.1831614591349853,3.831186849557289,0.12398576590552324,0.00012382560469651423,1.5472797452359853e-05,6.381694567758712e-05
NGC2403,1.2145605664152685,3.675864357057236,0.12726186725498012,0.00013685936158973282,2.0648534499889162e-05,7.147715152886565e-05
NGC2403,1.2461135908881023,3.593813663804626,0.13243949014848466,0.00015495160477840787,2.1896101969855487e-05,8.051049147362899e-05
NGC2403,1.2776666153609357,3.574933551686263,0.1344336220179474,0.00015092395238008546,1.685519733537009e-05,7.732145580445859e-05
NGC2403,1.3092196398337694,3.503034741265335,0.12909409849993425,0.0001492300241094085,2.2722502585221653e-05,7.799815477086023e-05
NGC2403,1.3407726643066031,3.4325819546278438,0.12142372910512522,0.00014242780170461134,2.431434193610764e-05,7.525029500532197e-05
NGC2403,1.3723256887794366,3.3058340284967103,0.11694016365771187,0.0001291549665014884,1.8722909806071926e-05,6.72368849264037e-05
NGC2403,1.4038787132522703,3.190961531653544,0.11279177281843467,0.00010644473448508142,1.2279185143432949e-05,5.4620497642245766e-05
NGC2403,1.4354317377251038,3.054691245530308,0.10797499047811288,8.37289831615539e-05,7.479340114727446e-06,4.252735806358908e-05
NGC2403,1.4669847621979375,2.889244623100329,0.09777938089731064,6.82831779795942e-05,6.197727319475895e-06,3.469956660644067e-05
NGC2403,1.4985377866707712,2.70615670227666,0.08757727685114425,5.456675209020602e-05,4.75113880977561e-06,2.7693969170349288e-05
NGC2403,1.5300908111436047,2.5346708405114486,0.08393591918801402,4.443369384036687e-05,3.6348460491689212e-06,2.2512227630246257e-05
NGC2403,1.5616438356164384,2.388386320892293,0.0826259739601578,3.745669130062841e-05,3.568843069908038e-06,1.9065350027085097e-05
NGC2403,1.593196860089272,2.235354492193204,0.08243946168317073,3.3333108579767614e-05,3.2512103405630365e-06,1.6980706716041838e-05
NGC2403,1.6247498845621056,2.111104852119287,0.0825641338654941,2.8035765470963842e-05,2.588795144316724e-06,1.4254925348277344e-05
NGC2403,1.6563029090349393,2.040816334035822,0.07827952080603295,2.586694252124994e-05,3.061807839795233e-06,1.3290949781608672e-05
NGC2403,1.6878559335077727,1.947791577963433,0.0747113734882161,2.5538156408917602e-05,3.4384430356531856e-06,1.3223927128543045e-05
NGC2403,1.7194089579806064,1.853420047314747,0.07388092266637591,2.3580283358869624e-05,3.3321132081353214e-06,1.2251955731758738e-05
NGC2403,1.7509619824534401,1.7863262668542788,0.07921293803387419,2.0827035197312095e-05,3.280942041829993e-06,1.0918146796016565e-05
NGC2403,1.7825150069262736,1.694669320722756,0.08024700642640237,1.9404769875425495e-05,3.5213855154266098e-06,1.032164858091049e-05
NGC2403,1.8140680313991073,1.6198586680062723,0.07914150316927815,1.9000199889970242e-05,3.848708460950327e-06,1.0250095403560737e-05
NGC2403,1.8456210558719408,1.565926024554426,0.07656410493070609,1.7139057196240694e-05,3.3865862776817777e-06,9.214433623950254e-06
NGC2403,1.8771740803447745,1.4878152970202847,0.07274497309091221,1.3655075874659036e-05,2.7064122322863466e-06,7.3443816252114085e-06
NGC2403,1.9087271048176082,1.4199975062775085,0.06515344361782349,9.04084763848009e-06,1.8707515181754659e-06,4.892232900047642e-06
NGC2403,1.9402801292904417,1.3370381241150542,0.06029526989746714,5.4239256225895034e-06,1.3643047952388946e-06,3.035798060503626e-06
NGC2403,1.9718331537632754,1.2225169857514242,0.05701269753638383,3.548133892335753e-06,1.3321663067706466e-06,2.2185537177134927e-06
NGC2841,1.0480221640757272,1.7412040682712304,0.07983120210404937,6.859216483115271e-05,1.014232628099422e-05,3.5764340500646056e-05
NGC2841,1.1202093273818685,1.6870353505873636,0.07227246329041159,4.8450037513294105e-05,7.632472096946467e-06,2.5398940215500487e-05
NGC2841,1.1925504078805602,1.6174226829168725,0.0729944397268818,3.5162393628748554e-05,5.327550798981501e-06,1.837066354113244e-05
NGC2841,1.2647375711867015,1.576566950766764,0.06991136081610938,2.7804663728579114e-05,3.698974425327476e-06,1.4386008586959327e-05
NGC2841,1.3370786516853932,1.6531058150892644,0.06589600833383336,2.450279836895465e-05,2.7897087044466904e-06,1.2565001258777387e-05
NGC2841,1.409419732184085,1.7836399435121222,0.06975716384533892,2.208602945662448e-05,2.0560307478224962e-06,1.1232784014914227e-05
NGC2841,1.4816068954902262,1.925930109539988,0.07242365672971862,2.1190626209709255e-05,2.034972402782281e-06,1.078896531044519e-05
NGC2841,1.5537940587963674,2.001276932450712,0.07977478526500814,2.062429371656159e-05,2.532508935596703e-06,1.0618567433304156e-05
NGC2841,1.6261351392950592,1.9390173690046018,0.09772550684428283,1.860406478285583e-05,2.2424452698123932e-06,9.568509152385137e-06
NGC2841,1.6984762197937509,1.8914609765246286,0.12372785231572958,1.6247416501533297e-05,1.8850657865623707e-06,8.339550872993229e-06
NGC2841,1.7706633830998924,1.813413030271061,0.14425247686038922,1.3747866116680533e-05,1.8316925138297848e-06,7.113793162284327e-06
NGC2841,1.843004463598584,1.7023378351846843,0.14939153364621993,1.2751332063284546e-05,1.9046536095596765e-06,6.654083161446499e-06
NGC2841,1.9151916269047253,1.5682844510110392,0.1482447553150169,1.095323697146558e-05,1.908234312690096e-06,5.799543795023705e-06
NGC2841,1.9756810835770355,1.473332108532656,0.16995972441429208,1.0136367620830354e-05,2.2494126581052235e-06,5.544938632897438e-06
NGC3198,1.0455594889949207,4.282519472874218,0.18990424981603793,0.00017984648772986425,2.8196336318583347e-05,9.424024177060835e-05
NGC3198,1.122979836847776,3.8196726392908977,0.22381229405383052,0.00012345346047467774,2.051773709580525e-05,6.504741932871578e-05
NGC3198,1.2004001847006311,3.4325819546278438,0.22178711759887926,9.102282847493511e-05,1.293088842049122e-05,4.731275410750846e-05
NGC3198,1.2778205325534862,3.205400888260593,0.20469687976919482,7.644222742525994e-05,1.0234613695697048e-05,3.9567674317982605e-05
NGC3198,1.3552408804063414,3.2029897993437473,0.16612707720835407,7.895608772801814e-05,1.2141048121584115e-05,4.130279647698501e-05
NGC3198,1.4326612282591966,3.2005805240377305,0.12758135562768347,8.25404185268019e-05,1.1299575272051866e-05,4.27891408417331e-05
NGC3198,1.5100815761120516,3.1080189646223872,0.12379848131402604,7.230200266210619e-05,8.558214346433603e-06,3.715020767152324e-05
NGC3198,1.5876558411574573,2.887071345581649,0.12160222698409373,5.485493266265668e-05,7.385637324990069e-06,2.840446352340484e-05
NGC3198,1.664922271817762,2.5137772840925727,0.13794587248446666,4.032325252111349e-05,7.171281054537665e-06,2.1399029076889032e-05
NGC3198,1.7424965368631675,2.2984650719913247,0.14862097551915787,3.169424364336786e-05,6.2579027671673545e-06,1.703797573289186e-05
